namespace,nombre,patrón,vista,archivo:línea,categoría,plantilla,kwargs,selenium,pruebas
report,api-root,/report/api/,rest_framework.routers.APIRootView,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:97,api,,,0,0
report,api-root,/report/api/<drf_format_suffix:format>,rest_framework.routers.APIRootView,.venv/lib/python3.13/site-packages/django/views/decorators/csrf.py:97,api,,format,0,0
report,create_report_request,/report/<int:org_pk>/create/,report.views.base.create_request_by_report,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:154,json,,org_pk,0,0
report,generate_report,/report/<int:org_pk>/download/,report.views.base.download_report,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:229,json,,org_pk,0,0
report,report_table,/report/<int:org_pk>/table/<int:pk>/,report.views.base.report_table,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:293,pagina,report/general_reports.html,org_pk|pk,0,0
report,report_status,/report/<int:org_pk>/status/,report.views.base.report_status,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:327,json,,org_pk,0,0
report,create_organization_report_request,/report/<int:org_pk>/create/organization/,report.views.base.create_organization_request_by_report,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:367,json,,org_pk,0,0
report,generate_organization_report,/report/<int:org_pk>/download/organization/,report.views.base.download__organization_report,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:426,json,,org_pk,0,0
report,report_organization_table,/report/<int:org_pk>/table/organization/<int:pk>/,report.views.base.report_organization_table,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:499,pagina,report/general_organization_report.html,org_pk|pk,0,0
report,report_organization_status,/report/<int:org_pk>/status/,report.views.base.report_status,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:327,json,,org_pk,0,0
report,regency_report,/report/reports/<int:org_pk>/regency/,report.views.base.regency_report,.venv/lib/python3.13/site-packages/django/contrib/auth/decorators.py:527,pagina,report/regency_report.html,org_pk,0,0
report,reports_furniture_detail,/report/reports/<int:org_pk>/list/furniture/,report.views.reports_org.FurnitureReportView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,1
report,reports_objects_list,/report/reports/<int:org_pk>/list/objects/,report.views.reports_org.ObjectList,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,1
report,reports_limited_shelf_objects_list,/report/reports/<int:org_pk>/list/limited_shelf_objects/,report.views.reports_org.LimitedShelfObjectList,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,reactive_precursor_object_list,/report/reports/<int:org_pk>/list/reactive_precursor_objects/,report.views.reports_org.ReactivePrecursorObjectList,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,object_change_logs,/report/reports/<int:org_pk>/objectchanges/,report.views.reports_org.LogObjectView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/base_report_form_view.html,org_pk,0,0
report,precursor_report,/report/reports/<int:org_pk>/precursors/,report.views.reports_org.PrecursorsView,.venv/lib/python3.13/site-packages/django/views/generic/base.py:134,pagina,report/precursor_report.html,org_pk,1,1
